Species,Abbreviations,Period,Group,Period2,Period3,Order,Order2,Group2,Age2,Diet,FAD_Ma,LAD_Ma,Body_mass_mg,Body_mass_g,Brain_volume_cm3,Brain_volume_mm3,Olfactory_bulbs_mm3,Neocortex_surface_mm2,Brain_surface_mm2,OB_percentage,Neorcortex_surface_percentage,Collection number,Status,NALMA/SALMA/ELMA/ALMA
Reithroparamys_delicatissimus,Re_de,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Rodentia,Rodentia,Eocene crown clades,middle Eocene,NA,49.25,48.6,749280,749.28,6.43398,6433.98,206.31,550.88,3178.9,3.206568873,17.32926484,AMNH 12561,literature,Bridgerian Br2
Rapamys_atramontis,Ra_at,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Rodentia,Rodentia,Eocene crown clades,middle Eocene,NA,39.8,37.8,1079530,1079.53,6.55822,6558.22,225.338,763.645,3321.41,3.461386261,22.99159092,AMNH 128706; AMNH 128704,literature,Duchesnean Du
Microsyops_annectens,Mi_an,Eocene,Eocene archaic taxa,middle Eocene,middle Eocene,Microsyops annectens,Microsyops annectens,Eocene archaic taxa,middle Eocene,NA,48.6,47.9,1432450,1432.45,5.9,5900,300.55,632.56,2956.19,5.094067797,21.39781273,UW 12362,literature,Bridgerian Br3
Ignacius_graybullianus,Ig_gr,Eocene,Eocene archaic taxa,early Eocene,early Eocene,Plesiadapiforms,Plesiadapiforms,Eocene archaic taxa,early Eocene,NA,55.75,55.5,270560,270.56,1.995,1995,109.707,359.84,1768.785,5.496792877,20.34390839,USNM 421608; UF 26000,literature,Wasatchian Wa1
Rooneyia_viejaensis,Ro_vi,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Primates,Primates,Eocene crown clades,middle Eocene,NA,39.8,37.8,341310,341.31,7.23,7230,68,1054.55,2409.33,0.940525588,43.76942968,TMM 40688-7,literature/segmented,Duchesnean Du
Adapis_parisiensis,Ad_pa,Eocene,Eocene crown clades,late Eocene,late Eocene,Primates,Primates,Eocene crown clades,late Eocene,NA,37.8,33.9,1870450,1870.45,8.81,8810,212,980.22,3168.94,2.406356413,30.93210979,NHM M 1345,literature/segmented,Headonian = Chadronian
Notharctus_tenebrosus,No_te,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Primates,Primates,Eocene crown clades,middle Eocene,NA,49.25,48.6,2100070,2100.07,7.623333333,7623.333333,149,917.83,3035.943333,1.946974682,30.23211896,AMNH 127167; USNM V 23277; USNM V 23278,literature/segmented,Bridgerian Br2
Smilodectes_gracilis,Sm_gr,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Primates,Primates,Eocene crown clades,middle Eocene,NA,49.25,47.9,1238640,1238.64,8.37,8370,137.55,1062.7875,3387.77,1.628570826,31.37130029,USNM V 17994; USNM V 17996; USNM V 21815; UM 32773 (=MPM 2612),literature/segmented,Bridgerian Br2-Br3
Microchoerus_erinaceus,Mi_er,Eocene,Eocene crown clades,late Eocene,late Eocene,Primates,Primates,Eocene crown clades,late Eocene,NA,37.5,37,493330,493.33,4.26,4260,41,771.76,1866.67,0.962441315,41.34421189,UM-PRR1771,literature/segmented,MP 17b
Necrolemur_antiquus,Ne_an,Eocene,Eocene crown clades,middle to late Eocene,middle Eocene,Primates,Primates,Eocene crown clades,middle Eocene,NA,37.8,33.75,120530,120.53,2.355,2355,45.6,NA,1266,1.936305732,NA,MaPhQ 289,literature/segmented,MP17 - MP20
Moeritherium_lyonsi,Mo_ly,Eocene,Eocene crown clades,middle to late Eocene,middle Eocene,Moeritherium lyonsi,Moeritherium lyonsi,Eocene crown clades,middle Eocene,Herbivorous,37.8,33.9,235000000,235000,240,240000,NA,NA,NA,NA,NA,BM 9176,literature,Priabonian
Prorastomus_sirenoides,Pr_si,Eocene,Eocene crown clades,late Early Eocene,early Eocene,Afrotheria,Afrotheria,Eocene crown clades,early Eocene,Herbivorous,56,47.8,98155500,98155.5,86.865,86865,3075,NA,NA,3.539975825,NA,BMNH 44897,literature, Ypresian
Seggeurius_amourensis,Se_am,Eocene,Eocene crown clades,early Eocene,early Eocene,Afrotheria,Afrotheria,Eocene crown clades,early Eocene,Herbivorous,56,47.8,2932000,2932,4.942,4942,NA,NA,NA,NA,NA,UOK-210,literature, Ypresian
Basilosaurus_cetoides,Ba_ce,Eocene,Eocene crown clades,late Eocene,late Eocene,Archaeoceti (Basilosauridae),Archaeoceti,Eocene crown clades,late Eocene,NA,37.8,33.9,6480000000,6480000,2240,2240000,NA,NA,NA,NA,NA,Gingerich (1998),literature,Priabonian
Basilosaurus_isis,Ba_is,Eocene,Eocene crown clades,middle to late Eocene,middle Eocene,Archaeoceti (Basilosauridae),Archaeoceti,Eocene crown clades,middle Eocene,NA,41.2,33.9,6480000000,6480000,2800,2800000,NA,NA,NA,NA,NA,"UM 94800, 94801, 97503",literature,Bartonian-Priabonian
Dorudon_atrox,Do_at,Eocene,Eocene crown clades,middle to late Eocene,middle Eocene,Archaeoceti (Basilosauridae),Archaeoceti,Eocene crown clades,middle Eocene,NA,41.2,33.9,1126000000,1126000,1173,1173000,NA,NA,NA,NA,NA,"UM 101215, 101222",literature,Bartonian-Priabonian
Saghacetus_osiris,Sa_os,Eocene,Eocene crown clades,late Eocene,late Eocene,Archaeoceti (Basilosauridae),Archaeoceti,Eocene crown clades,late Eocene,NA,37.8,33.9,350000000,350000,485,485000,NA,NA,NA,NA,NA,UM 97550; BMNH 10228,literature,Priabonian
Zygorhiza_kochii,Zy_ko,Eocene,Eocene crown clades,late Eocene,late Eocene,Archaeoceti (Basilosauridae),Archaeoceti,Eocene crown clades,late Eocene,NA,35.4,33.6,998000000,998000,1189,1189000,NA,NA,NA,NA,NA,PM-459,literature,in Priabonian
Rodhocetus_kasrani,Ro_ka,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Archaeoceti (Protocetidae),Archaeoceti,Eocene crown clades,middle Eocene,NA,47.8,41.2,590000000,590000,290,290000,NA,NA,NA,NA,NA,"GSP-UM 1853, 3012",literature,Lutetian
Dalanistes_ahmedi,Da_ah,Eocene,Eocene crown clades,middle Eocene,middle Eocene,Archaeoceti (Remingtonocetidae),Archaeoceti,Eocene crown clades,middle Eocene,NA,47.8,41.2,750000000,750000,400,400000,NA,NA,NA,NA,NA,"GSP-UM 3099, 3106, 3165",literature,Lutetian
Notostylops_murinus,No_mu,Eocene,Eocene archaic taxa,late Eocene,late Eocene,Notoungulata,Notoungulata,Eocene archaic taxa,late Eocene,Herbivorous,41.5,38.5,8891970,8891.97,17,17000,NA,NA,NA,NA,NA,MNBA 10506,literature,Barrancan
Oldfieldthomasia_debilitata,Ol_de,Eocene,Eocene archaic taxa,late Eocene,late Eocene,Notoungulata,Notoungulata,Eocene archaic taxa,late Eocene,Herbivorous,41.5,38.5,1238000,1238,13,13000,NA,NA,NA,NA,NA,AMNH 28780,literature,Barrancan
Rhyphodon_lankesteri,Rh_la,Eocene,Eocene archaic taxa,late Eocene,late Eocene,Notoungulata,Notoungulata,Eocene archaic taxa,late Eocene,Herbivorous,34.3,33.5,70000000,70000,43,43000,NA,NA,NA,NA,NA,AMNH 29414,literature,Mustersan
